Date,Stock Price
03-01-2022,182.009995
04-01-2022,179.699997
05-01-2022,174.919998
06-01-2022,172
07-01-2022,172.169998
10-01-2022,172.190002
11-01-2022,175.080002
12-01-2022,175.529999
13-01-2022,172.190002
14-01-2022,173.070007
18-01-2022,169.800003
19-01-2022,166.229996
20-01-2022,164.509995
21-01-2022,162.410004
24-01-2022,161.619995
25-01-2022,159.779999
26-01-2022,159.690002
27-01-2022,159.220001
28-01-2022,170.330002
31-01-2022,174.779999
01-02-2022,174.610001
02-02-2022,175.839996
03-02-2022,172.899994
04-02-2022,172.389999
07-02-2022,171.660004
08-02-2022,174.830002
09-02-2022,176.279999
10-02-2022,172.119995
11-02-2022,168.639999
14-02-2022,168.880005
15-02-2022,172.789993
16-02-2022,172.550003
17-02-2022,168.880005
18-02-2022,167.300003
22-02-2022,164.320007
23-02-2022,160.070007
24-02-2022,162.740005
25-02-2022,164.850006
28-02-2022,165.119995
01-03-2022,163.199997
02-03-2022,166.559998
03-03-2022,166.229996
04-03-2022,163.169998
07-03-2022,159.300003
08-03-2022,157.440002
09-03-2022,162.949997
10-03-2022,158.520004
11-03-2022,154.729996
14-03-2022,150.619995
15-03-2022,155.089996
16-03-2022,159.589996
17-03-2022,160.619995
18-03-2022,163.979996
21-03-2022,165.380005
22-03-2022,168.820007
23-03-2022,170.210007
24-03-2022,174.070007
25-03-2022,174.720001
28-03-2022,175.600006
29-03-2022,178.960007
30-03-2022,177.770004
31-03-2022,174.610001
01-04-2022,174.309998
04-04-2022,178.440002
05-04-2022,175.059998
06-04-2022,171.830002
07-04-2022,172.139999
08-04-2022,170.089996
11-04-2022,165.75
12-04-2022,167.660004
13-04-2022,170.399994
14-04-2022,165.289993
18-04-2022,165.070007
19-04-2022,167.399994
20-04-2022,167.229996
21-04-2022,166.419998
22-04-2022,161.789993
25-04-2022,162.880005
26-04-2022,156.800003
27-04-2022,156.570007
28-04-2022,163.639999
29-04-2022,157.649994
02-05-2022,157.960007
03-05-2022,159.479996
04-05-2022,166.020004
05-05-2022,156.770004
06-05-2022,157.279999
09-05-2022,152.059998
10-05-2022,154.509995
11-05-2022,146.5
12-05-2022,142.559998
13-05-2022,147.110001
16-05-2022,145.539993
17-05-2022,149.240005
18-05-2022,140.820007
19-05-2022,137.350006
20-05-2022,137.589996
23-05-2022,143.110001
24-05-2022,140.360001
25-05-2022,140.520004
26-05-2022,143.779999
27-05-2022,149.639999
31-05-2022,148.839996
01-06-2022,148.710007
02-06-2022,151.210007
03-06-2022,145.380005
06-06-2022,146.139999
07-06-2022,148.710007
08-06-2022,147.960007
09-06-2022,142.639999
10-06-2022,137.130005
13-06-2022,131.880005
14-06-2022,132.759995
15-06-2022,135.429993
16-06-2022,130.059998
17-06-2022,131.559998
21-06-2022,135.869995
22-06-2022,135.350006
23-06-2022,138.270004
24-06-2022,141.660004
27-06-2022,141.660004
28-06-2022,137.440002
29-06-2022,139.229996
30-06-2022,136.720001
01-07-2022,138.929993
05-07-2022,141.559998
06-07-2022,142.919998
07-07-2022,146.350006
08-07-2022,147.039993
11-07-2022,144.869995
12-07-2022,145.860001
13-07-2022,145.490005
14-07-2022,148.470001
15-07-2022,150.169998
18-07-2022,147.070007
19-07-2022,151
20-07-2022,153.039993
21-07-2022,155.350006
22-07-2022,154.089996
25-07-2022,152.949997
26-07-2022,151.600006
27-07-2022,156.789993
28-07-2022,157.350006
29-07-2022,162.509995
01-08-2022,161.509995
02-08-2022,160.009995
03-08-2022,166.130005
04-08-2022,165.809998
05-08-2022,165.350006
08-08-2022,164.869995
09-08-2022,164.919998
10-08-2022,169.240005
11-08-2022,168.490005
12-08-2022,172.100006
15-08-2022,173.190002
16-08-2022,173.029999
17-08-2022,174.550003
18-08-2022,174.149994
19-08-2022,171.520004
22-08-2022,167.570007
23-08-2022,167.229996
24-08-2022,167.529999
25-08-2022,170.029999
26-08-2022,163.619995
29-08-2022,161.380005
30-08-2022,158.910004
31-08-2022,157.220001
01-09-2022,157.960007
02-09-2022,155.809998
06-09-2022,154.529999
07-09-2022,155.960007
08-09-2022,154.460007
09-09-2022,157.369995
12-09-2022,163.429993
13-09-2022,153.839996
14-09-2022,155.309998
15-09-2022,152.369995
16-09-2022,150.699997
19-09-2022,154.479996
20-09-2022,156.899994
21-09-2022,153.720001
22-09-2022,152.740005
23-09-2022,150.429993
26-09-2022,150.770004
27-09-2022,151.759995
28-09-2022,149.839996
29-09-2022,142.479996
30-09-2022,138.199997
03-10-2022,142.449997
04-10-2022,146.100006
05-10-2022,146.399994
06-10-2022,145.429993
07-10-2022,140.089996
10-10-2022,140.419998
11-10-2022,138.979996
12-10-2022,138.339996
13-10-2022,142.990005
14-10-2022,138.380005
17-10-2022,142.410004
18-10-2022,143.75
19-10-2022,143.860001
20-10-2022,143.389999
21-10-2022,147.270004
24-10-2022,149.449997
25-10-2022,152.339996
26-10-2022,149.350006
27-10-2022,144.800003
28-10-2022,155.740005
31-10-2022,153.339996
01-11-2022,150.649994
02-11-2022,145.029999
03-11-2022,138.880005
04-11-2022,138.380005
07-11-2022,138.919998
08-11-2022,139.5
09-11-2022,134.869995
10-11-2022,146.869995
11-11-2022,149.699997
14-11-2022,148.279999
15-11-2022,150.039993
16-11-2022,148.789993
17-11-2022,150.720001
18-11-2022,151.289993
21-11-2022,148.009995
22-11-2022,150.179993
23-11-2022,151.070007
25-11-2022,148.110001
28-11-2022,144.220001
29-11-2022,141.169998
30-11-2022,148.029999
01-12-2022,148.309998
02-12-2022,147.809998
05-12-2022,146.630005
06-12-2022,142.910004
07-12-2022,140.940002
08-12-2022,142.649994
09-12-2022,142.160004
12-12-2022,144.490005
13-12-2022,145.470001
14-12-2022,143.210007
15-12-2022,136.5
16-12-2022,134.509995
19-12-2022,132.369995
20-12-2022,132.300003
21-12-2022,135.449997
22-12-2022,132.229996
23-12-2022,131.860001
27-12-2022,130.029999
28-12-2022,126.040001
29-12-2022,129.610001
30-12-2022,129.929993
03-01-2023,125.07
04-01-2023,126.360001
05-01-2023,125.019997
06-01-2023,129.619995
09-01-2023,130.149994
10-01-2023,130.729996
11-01-2023,133.490005
12-01-2023,133.410004
13-01-2023,134.759995
17-01-2023,135.940002
18-01-2023,135.210007
19-01-2023,135.270004
20-01-2023,137.869995
23-01-2023,141.110001
24-01-2023,142.529999
25-01-2023,141.860001
26-01-2023,143.960007
27-01-2023,145.929993
30-01-2023,143
31-01-2023,144.289993
01-02-2023,145.429993
02-02-2023,150.820007
03-02-2023,154.5
06-02-2023,151.729996
07-02-2023,154.649994
08-02-2023,151.919998
09-02-2023,150.869995
10-02-2023,151.009995
13-02-2023,153.850006
14-02-2023,153.199997
15-02-2023,155.330002
16-02-2023,153.710007
17-02-2023,152.550003
21-02-2023,148.479996
22-02-2023,148.910004
23-02-2023,149.399994
24-02-2023,146.710007
27-02-2023,147.919998
28-02-2023,147.410004
01-03-2023,145.309998
02-03-2023,145.910004
03-03-2023,151.029999
06-03-2023,153.830002
07-03-2023,151.600006
08-03-2023,152.869995
09-03-2023,150.589996
10-03-2023,148.5
13-03-2023,150.470001
14-03-2023,152.589996
15-03-2023,152.990005
16-03-2023,155.850006
17-03-2023,155
20-03-2023,157.399994
21-03-2023,159.279999
22-03-2023,157.830002
23-03-2023,158.929993
24-03-2023,160.25
27-03-2023,158.279999
28-03-2023,157.649994
29-03-2023,160.770004
30-03-2023,162.360001
31-03-2023,164.899994
03-04-2023,166.169998
04-04-2023,165.630005
05-04-2023,163.759995
06-04-2023,164.660004
10-04-2023,162.029999
11-04-2023,160.800003
12-04-2023,160.100006
13-04-2023,165.559998
14-04-2023,165.210007
17-04-2023,165.229996
18-04-2023,166.470001
19-04-2023,167.630005
20-04-2023,166.649994
21-04-2023,165.020004
24-04-2023,165.330002
25-04-2023,163.770004
26-04-2023,163.759995
27-04-2023,168.410004
28-04-2023,169.679993
01-05-2023,169.589996
02-05-2023,168.539993
03-05-2023,167.449997
04-05-2023,165.789993
05-05-2023,173.570007
08-05-2023,173.5
09-05-2023,171.770004
10-05-2023,173.559998
11-05-2023,173.75
12-05-2023,172.570007
15-05-2023,172.070007
16-05-2023,172.070007
